stationId,adresse,latitude,longitude,X,Y,polluant,valeur,date,heure
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",16,2025-04-21,0
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",11,2025-04-21,0
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",18,2025-04-21,0
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",15,2025-04-21,0
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",19,2025-04-21,0
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",7,2025-04-21,0
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",17,2025-04-21,0
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",15,2025-04-21,0
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",18,2025-04-21,0
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",20,2025-04-21,0
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",18,2025-04-21,0
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",16,2025-04-21,1
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",10,2025-04-21,1
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",17,2025-04-21,1
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",11,2025-04-21,1
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",19,2025-04-21,1
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,1
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",16,2025-04-21,1
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",17,2025-04-21,1
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",17,2025-04-21,1
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",19,2025-04-21,1
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",17,2025-04-21,1
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",16,2025-04-21,2
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",16,2025-04-21,2
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",16,2025-04-21,2
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",11,2025-04-21,2
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",18,2025-04-21,2
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,2
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",17,2025-04-21,2
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",11,2025-04-21,2
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",17,2025-04-21,2
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",17,2025-04-21,2
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",16,2025-04-21,2
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",16,2025-04-21,3
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",18,2025-04-21,3
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",19,2025-04-21,3
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",16,2025-04-21,3
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",11,2025-04-21,3
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,3
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",17,2025-04-21,3
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",8,2025-04-21,3
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",19,2025-04-21,3
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",18,2025-04-21,3
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",18,2025-04-21,3
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",16,2025-04-21,4
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",18,2025-04-21,4
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",17,2025-04-21,4
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",16,2025-04-21,4
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",16,2025-04-21,4
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,4
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",18,2025-04-21,4
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",10,2025-04-21,4
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",18,2025-04-21,4
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",16,2025-04-21,4
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",16,2025-04-21,4
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",14,2025-04-21,5
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",13,2025-04-21,5
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",16,2025-04-21,5
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",15,2025-04-21,5
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",11,2025-04-21,5
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,5
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",16,2025-04-21,5
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"PM",9,2025-04-21,5
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",16,2025-04-21,5
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",14,2025-04-21,5
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",16,2025-04-21,5
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",15,2025-04-21,6
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",15,2025-04-21,6
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",13,2025-04-21,6
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",14,2025-04-21,6
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",11,2025-04-21,6
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",11,2025-04-21,6
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",18,2025-04-21,6
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",10,2025-04-21,6
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",11,2025-04-21,6
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",12,2025-04-21,6
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",15,2025-04-21,6
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",20,2025-04-21,7
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",17,2025-04-21,7
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",19,2025-04-21,7
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",17,2025-04-21,7
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",14,2025-04-21,7
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",13,2025-04-21,7
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",19,2025-04-21,7
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",16,2025-04-21,7
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",17,2025-04-21,7
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",10,2025-04-21,7
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",18,2025-04-21,7
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",21,2025-04-21,8
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",21,2025-04-21,8
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",20,2025-04-21,8
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",21,2025-04-21,8
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",21,2025-04-21,8
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",12,2025-04-21,8
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",22,2025-04-21,8
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",19,2025-04-21,8
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",20,2025-04-21,8
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",17,2025-04-21,8
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",21,2025-04-21,8
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",25,2025-04-21,9
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",24,2025-04-21,9
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",23,2025-04-21,9
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",24,2025-04-21,9
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",25,2025-04-21,9
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",10,2025-04-21,9
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",24,2025-04-21,9
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",24,2025-04-21,9
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",23,2025-04-21,9
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",24,2025-04-21,9
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",24,2025-04-21,9
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",28,2025-04-21,10
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",27,2025-04-21,10
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",26,2025-04-21,10
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",25,2025-04-21,10
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",26,2025-04-21,10
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",7,2025-04-21,10
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",27,2025-04-21,10
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",25,2025-04-21,10
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",25,2025-04-21,10
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",25,2025-04-21,10
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",26,2025-04-21,10
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",28,2025-04-21,11
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",27,2025-04-21,11
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",26,2025-04-21,11
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",25,2025-04-21,11
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",27,2025-04-21,11
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",7,2025-04-21,11
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",27,2025-04-21,11
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",25,2025-04-21,11
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",25,2025-04-21,11
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",26,2025-04-21,11
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",27,2025-04-21,11
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",29,2025-04-21,12
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",28,2025-04-21,12
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",27,2025-04-21,12
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",26,2025-04-21,12
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",27,2025-04-21,12
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",6,2025-04-21,12
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",28,2025-04-21,12
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",27,2025-04-21,12
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",26,2025-04-21,12
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",27,2025-04-21,12
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",27,2025-04-21,12
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",29,2025-04-21,13
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",28,2025-04-21,13
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",28,2025-04-21,13
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",27,2025-04-21,13
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",29,2025-04-21,13
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",8,2025-04-21,13
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",28,2025-04-21,13
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",28,2025-04-21,13
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",28,2025-04-21,13
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",28,2025-04-21,13
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",28,2025-04-21,13
3,"1050 A, St-Jean-Baptiste",45.641026,-73.499682,304824.789662098,5055681.13314813,"O3",30,2025-04-21,14
6,"7650 rue Châteauneuf",45.602846,-73.558874,300207.366295338,5051439.76806955,"O3",29,2025-04-21,14
17,"4240 rue Charleroi",45.593325,-73.637328,294085.527312357,5050389.16407416,"O3",27,2025-04-21,14
28,"2495 Duncan",45.502648,-73.663913,291990.759167783,5040316.00071023,"O3",28,2025-04-21,14
31,"75, rue Ontario Est",45.512189,-73.566842,299577.408387699,5041365.40172462,"O3",29,2025-04-21,14
50,"3250, Ste-Catherine Est",45.539928,-73.540388,301645.899475394,5044446.68313382,"PM",9,2025-04-21,14
55,"12400, Wilfrid-Ouellette, coin Louis-Lumière",45.651722,-73.573896,299040.540046544,5056872.47076556,"O3",29,2025-04-21,14
66,"Aéroport de Montréal, 90-A rue Hervé-St-Martin",45.468297,-73.741185,285940.758197803,5036513.79603217,"O3",29,2025-04-21,14
80,"2580 Saint-Joseph est",45.542767,-73.572039,299174.398047754,5044763.91561121,"O3",29,2025-04-21,14
99,"20965, Ch. Ste-Marie",45.426509,-73.928944,271234.341890744,5031931.12785346,"O3",28,2025-04-21,14
103,"5398 rue York",45.464611,-73.582583,298342.076279141,5036079.19290024,"O3",29,2025-04-21,14
